CustomerID,Country,State,City,Lat Long,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,CLTV,Churn Reason,Cluster,Segment
3668-QPYBK,United States,California,Los Angeles,"33.964131, -118.272783",Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,3239,Competitor made better offer,1,At-Risk New
9237-HQITU,United States,California,Los Angeles,"34.059281, -118.30742",Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,2701,Moved,1,At-Risk New
9305-CDSKC,United States,California,Los Angeles,"34.048013, -118.293953",Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,5372,Moved,0,Budget Customers
7892-POOKP,United States,California,Los Angeles,"34.062125, -118.315709",Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,5003,Moved,2,Loyal High-Value
0280-XJGEX,United States,California,Los Angeles,"34.039224, -118.266293",Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,5340,Competitor had better devices,2,Loyal High-Value
4190-MFLUW,United States,California,Los Angeles,"34.066367, -118.309868",Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,5925,Competitor offered higher download speeds,0,Budget Customers
8779-QRDMV,United States,California,Los Angeles,"34.02381, -118.156582",Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,5433,Competitor offered more data,0,Budget Customers
1066-JKSGK,United States,California,Los Angeles,"34.066303, -118.435479",Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,4832,Competitor made better offer,0,Budget Customers
6467-CHFZW,United States,California,Los Angeles,"34.099869, -118.326843",Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,5789,Competitor had better devices,2,Loyal High-Value
8665-UTDHZ,United States,California,Los Angeles,"34.089953, -118.294824",Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,2915,Competitor had better devices,1,At-Risk New
8773-HHUOZ,United States,California,Los Angeles,"34.078821, -118.177576",Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,3022,Competitor offered higher download speeds,1,At-Risk New
6047-YHPVI,United States,California,Los Angeles,"34.110845, -118.259595",Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,2454,Competitor offered higher download speeds,1,At-Risk New
5380-WJKOV,United States,California,Los Angeles,"34.137412, -118.207607",Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,2941,Competitor offered higher download speeds,1,At-Risk New
8168-UQWWF,United States,California,Los Angeles,"34.11572, -118.192754",Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,5674,Competitor offered more data,0,Budget Customers
7760-OYPDY,United States,California,Los Angeles,"33.987945, -118.370442",Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,5586,Competitor offered more data,0,Budget Customers
9420-LOJKX,United States,California,Los Angeles,"33.92128, -118.274186",Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,2966,Competitor offered more data,1,At-Risk New
7495-OOKFY,United States,California,Los Angeles,"34.044271, -118.185237",Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,5302,Competitor made better offer,0,Budget Customers
1658-BYGOY,United States,California,Los Angeles,"34.108833, -118.229715",Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,3179,Competitor made better offer,1,At-Risk New
5698-BQJOH,United States,California,Beverly Hills,"34.063947, -118.383001",Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,5571,Price too high,0,Budget Customers
5919-TMRGD,United States,California,Huntington Park,"33.97803, -118.217141",Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,2483,Product dissatisfaction,1,At-Risk New
9191-MYQKX,United States,California,Lynwood,"33.923573, -118.200669",Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,3457,Service dissatisfaction,1,At-Risk New
8637-XJIVR,United States,California,Marina Del Rey,"33.977468, -118.445475",Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,5806,Lack of self-service on Website,0,Budget Customers
0278-YXOOG,United States,California,Inglewood,"33.956445, -118.358634",Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,2604,Network reliability,1,At-Risk New
4598-XLKNJ,United States,California,Inglewood,"33.936291, -118.332639",Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,5337,Limited range of services,2,Loyal High-Value
3192-NQECA,United States,California,Santa Monica,"34.031529, -118.491156",Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,5034,Lack of affordable download/upload speed,2,Loyal High-Value
0486-HECZI,United States,California,Torrance,"33.867257, -118.330794",Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,5154,Long distance charges,2,Loyal High-Value
4846-WHAFZ,United States,California,Whittier,"33.972119, -118.020188",Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,2793,Extra data charges,1,At-Risk New
5299-RULOA,United States,California,Whittier,"33.976678, -118.065875",Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,5998,Price too high,0,Budget Customers
0404-SWRVG,United States,California,La Habra,"33.940619, -117.9513",Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,4415,Product dissatisfaction,1,At-Risk New
4412-YLTKF,United States,California,Pico Rivera,"33.989524, -118.089299",Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,4638,Service dissatisfaction,0,Budget Customers
6207-WIOLX,United States,California,Avalon,"33.391181, -118.421305",Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,4190,Lack of self-service on Website,0,Budget Customers
3091-FYHKI,United States,California,Harbor City,"33.798266, -118.300237",Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,2301,Network reliability,1,At-Risk New
